READING_TS,SENSOR_ID,TEMPERATURE,HUMIDITY,GPS_LAT,GPS_LON
2025-09-19 02:54:21.667852,9,5.4,42.5,19.27099,-99.10484
2025-09-19 10:52:21.667852,2,12.1,46.4,19.331,-99.12802
2025-09-18 14:16:21.667852,12,6.0,58.8,19.26575,-99.06627
2025-09-19 17:55:21.667852,15,6.4,60.7,19.34191,-99.12451
2025-09-18 17:44:21.667852,2,4.7,47.1,19.31614,-99.09267
2025-09-17 08:57:21.667852,15,3.5,62.5,19.31338,-99.0945
2025-09-17 01:16:21.667852,14,5.8,61.2,19.31595,-99.12756
2025-09-18 08:18:21.667852,14,6.2,50.2,19.34901,-99.10127
2025-09-18 10:28:21.667852,11,4.0,44.8,19.25668,-99.14901
2025-09-18 11:37:21.667852,9,4.2,46.7,19.31258,-99.0798
2025-09-18 14:33:21.667852,2,7.3,68.3,19.25231,-99.07879
2025-09-17 11:11:21.667852,11,7.3,53.3,19.32456,-99.10342
2025-09-18 02:14:21.667852,13,5.8,54.6,19.32309,-99.09228
2025-09-18 22:44:21.667852,7,4.1,48.5,19.3149,-99.0793
2025-09-18 22:15:21.667852,13,5.0,53.6,19.28925,-99.14244
2025-09-19 07:54:21.667852,2,4.8,54.3,19.33161,-99.08205
2025-09-17 18:06:21.667852,15,4.9,61.0,19.26047,-99.08458
2025-09-17 21:38:21.667852,8,1.6,68.2,19.30959,-99.11752
2025-09-18 22:53:21.667852,6,4.4,57.9,19.32983,-99.12112
2025-09-19 06:00:21.667852,9,4.8,52.2,19.30101,-99.05944
2025-09-17 05:20:21.667852,2,2.3,62.1,19.32412,-99.08929
2025-09-20 00:45:21.667852,2,3.2,42.0,19.25993,-99.1255
2025-09-18 12:52:21.667852,13,5.2,42.0,19.2694,-99.14915
2025-09-19 15:33:21.667852,9,6.1,67.0,19.27392,-99.11676
2025-09-19 01:25:21.667852,12,5.9,63.3,19.32269,-99.07092
2025-09-19 15:26:21.667852,12,5.1,60.4,19.34207,-99.08154
2025-09-18 06:31:21.667852,13,11.2,42.2,19.28213,-99.12769
2025-09-17 19:58:21.667852,14,5.7,53.1,19.3063,-99.06245
2025-09-19 05:45:21.667852,14,6.1,64.4,19.29792,-99.0648
2025-09-17 14:05:21.667852,1,1.6,42.2,19.28755,-99.06962
2025-09-18 10:31:21.667852,3,2.3,46.9,19.26347,-99.06211
2025-09-19 12:07:21.667852,4,3.5,40.9,19.33135,-99.12582
2025-09-17 03:34:21.667852,13,6.4,41.1,19.26124,-99.07532
2025-09-18 00:06:21.667852,7,4.3,62.0,19.25783,-99.0781
2025-09-18 00:22:21.667852,5,4.4,59.1,19.33577,-99.05105
2025-09-18 22:53:21.667852,5,5.0,43.6,19.26558,-99.14711
2025-09-18 01:13:21.667852,4,5.0,48.0,19.34222,-99.10721
2025-09-17 19:18:21.667852,7,9.5,58.1,19.28324,-99.10604
2025-09-19 04:53:21.667852,8,5.3,66.5,19.28628,-99.1128
2025-09-19 00:07:21.667852,10,6.0,58.0,19.32715,-99.05122
2025-09-17 08:14:21.667852,8,8.4,67.9,19.28879,-99.1462
2025-09-19 01:05:21.667852,12,4.9,43.9,19.27197,-99.08401
2025-09-17 23:09:21.667852,6,4.4,46.9,19.26423,-99.05328
2025-09-19 02:04:21.667852,14,4.5,53.7,19.31215,-99.14873
2025-09-18 13:41:21.667852,14,1.4653138755116268,47.1,19.31948,-99.14671
2025-09-17 08:25:21.667852,11,6.0,56.9,19.34933,-99.06747
2025-09-19 05:16:21.667852,15,5.4,68.2,19.28855,-99.05332
2025-09-17 07:12:21.667852,4,3.9,53.9,19.34053,-99.1495
2025-09-19 18:13:21.667852,7,3.7,64.7,19.27264,-99.09858
2025-09-17 11:44:21.667852,6,7.0,63.8,19.2826,-99.13125
2025-09-17 22:16:21.667852,7,5.5,66.3,19.32629,-99.06809
2025-09-17 12:35:21.667852,14,5.4,45.6,19.30501,-99.05563
2025-09-19 10:13:21.667852,13,7.6,57.0,19.33839,-99.09001
2025-09-17 06:56:21.667852,14,5.7,68.7,19.31284,-99.12152
2025-09-18 20:20:21.667852,7,6.5,47.7,19.34442,-99.07576
2025-09-19 03:59:21.667852,8,10.1,46.8,19.31296,-99.10611
2025-09-17 23:17:21.667852,14,4.3,40.7,19.26088,-99.0795
2025-09-17 13:01:21.667852,15,4.5,61.2,19.28656,-99.10431
2025-09-17 13:06:21.667852,3,3.2,53.5,19.28534,-99.13568
2025-09-19 07:14:21.667852,1,6.0,61.7,19.31697,-99.07013
2025-09-18 18:31:21.667852,5,4.5,67.1,19.25343,-99.06472
2025-09-20 00:45:21.667852,1,4.8,56.3,19.3113,-99.10318
2025-09-17 09:10:21.667852,8,2.4,60.7,19.29685,-99.07231
2025-09-17 15:13:21.667852,15,5.9,45.4,19.34513,-99.1367
2025-09-18 09:44:21.667852,4,2.8,44.2,19.28765,-99.14051
2025-09-18 02:08:21.667852,14,4.4,57.9,19.3261,-99.07853
2025-09-18 11:57:21.667852,8,4.3,44.7,19.30134,-99.07945
2025-09-18 15:57:21.667852,13,6.1,49.8,19.30133,-99.12683
2025-09-18 04:09:21.667852,11,3.6,59.1,19.34876,-99.13874
2025-09-17 10:12:21.667852,6,2.5,46.9,19.25173,-99.06749
2025-09-17 19:38:21.667852,5,4.6,41.7,19.3145,-99.14375
2025-09-18 18:02:21.667852,10,6.2,47.0,19.32094,-99.08159
2025-09-18 16:41:21.667852,6,10.618200434271207,48.3,19.32941,-99.14516
2025-09-18 11:10:21.667852,3,6.4,46.7,19.3081,-99.11909
2025-09-19 14:56:21.667852,10,4.8,59.2,19.2786,-99.08814
2025-09-19 08:47:21.667852,1,4.6,46.3,19.34489,-99.14392
2025-09-19 01:50:21.667852,5,4.0,52.6,19.32063,-99.13329
2025-09-17 07:55:21.667852,9,5.8,57.3,19.25786,-99.07045
2025-09-18 08:59:21.667852,12,6.1,58.5,19.27477,-99.10014
2025-09-19 06:29:21.667852,13,5.4,43.6,19.30389,-99.12874
2025-09-18 03:03:21.667852,8,3.0,53.1,19.26226,-99.14819
2025-09-17 17:23:21.667852,14,3.6,66.7,19.31437,-99.10201
2025-09-19 09:14:21.667852,2,3.6,42.3,19.2698,-99.11645
2025-09-18 16:05:21.667852,11,4.5,42.3,19.27327,-99.0805
2025-09-19 05:50:21.667852,15,2.2,42.2,19.29043,-99.07046
2025-09-17 15:03:21.667852,5,7.2,62.3,19.29132,-99.06675
2025-09-17 03:36:21.667852,1,2.7,53.9,19.32475,-99.14633
2025-09-19 00:10:21.667852,11,8.7,61.9,19.304,-99.11088
2025-09-19 21:13:21.667852,10,4.7,69.6,19.27476,-99.09794
2025-09-17 10:23:21.667852,7,6.5,48.7,19.34228,-99.07812
2025-09-18 00:32:21.667852,4,3.1,64.0,19.28514,-99.13133
2025-09-18 13:15:21.667852,11,6.1,67.8,19.25511,-99.06251
2025-09-17 07:30:21.667852,6,4.6,49.4,19.30538,-99.14096
2025-09-19 04:30:21.667852,8,4.1,69.1,19.2653,-99.07533
2025-09-19 13:03:21.667852,14,5.6,40.3,19.31117,-99.05311
2025-09-18 06:15:21.667852,6,4.7,41.1,19.30366,-99.12426
2025-09-18 08:34:21.667852,13,3.2,48.4,19.31435,-99.05157
2025-09-19 20:11:21.667852,3,5.6,58.6,19.30636,-99.11084
2025-09-17 02:25:21.667852,11,-0.5,40.8,19.3401,-99.13728
2025-09-18 04:52:21.667852,13,6.4,61.3,19.28813,-99.12275
2025-09-17 11:24:21.667852,11,4.6,45.2,19.33123,-99.05431
2025-09-19 03:48:21.667852,6,2.5,61.2,19.28779,-99.05666
2025-09-20 00:51:21.667852,5,3.8,46.0,19.29665,-99.07003
2025-09-19 04:56:21.667852,11,4.1,47.6,19.30711,-99.1433
2025-09-17 04:58:21.667852,9,4.4,64.0,19.33862,-99.13628
2025-09-18 07:40:21.667852,13,4.0,66.6,19.32973,-99.10468
2025-09-17 13:13:21.667852,14,8.3,54.1,19.27824,-99.12118
2025-09-19 03:06:21.667852,5,4.9,68.4,19.32958,-99.0559
2025-09-18 04:57:21.667852,3,-0.7791119716268365,58.1,19.30833,-99.06124
2025-09-18 21:06:21.667852,4,6.1,59.0,19.27848,-99.06933
2025-09-17 22:48:21.667852,9,9.8,67.4,19.311,-99.11322
2025-09-17 15:45:21.667852,14,2.6,59.8,19.28946,-99.12964
2025-09-18 14:46:21.667852,8,2.7,64.4,19.29207,-99.06651
2025-09-17 18:06:21.667852,7,4.2,51.8,19.34082,-99.06675
2025-09-19 05:28:21.667852,8,3.3,40.5,19.30258,-99.13208
2025-09-18 01:09:21.667852,12,5.2,46.4,19.3493,-99.09171
2025-09-18 06:26:21.667852,13,5.0,61.6,19.27207,-99.11243
2025-09-17 15:40:21.667852,8,3.6,61.1,19.29235,-99.09134
2025-09-19 04:58:21.667852,3,5.8,52.7,19.27395,-99.13846
2025-09-17 17:08:21.667852,11,6.0,55.5,19.25569,-99.07094
2025-09-17 16:38:21.667852,2,10.3,55.0,19.28068,-99.09683
2025-09-17 18:32:21.667852,4,11.0,40.1,19.25021,-99.05226
2025-09-20 00:38:21.667852,8,2.5,45.0,19.29751,-99.10947
2025-09-19 04:19:21.667852,9,5.1,62.7,19.26105,-99.09454
2025-09-18 00:27:21.667852,15,7.7,51.0,19.29342,-99.06255
2025-09-17 15:18:21.667852,12,5.2,46.8,19.27033,-99.1416
2025-09-17 04:07:21.667852,3,4.4,61.3,19.30849,-99.08155
2025-09-17 01:28:21.667852,11,5.9,66.6,19.25473,-99.11262
2025-09-18 21:27:21.667852,8,13.322826603950716,67.1,19.28511,-99.12781
2025-09-18 08:57:21.667852,2,5.7,48.9,19.31945,-99.06798
2025-09-18 11:30:21.667852,10,3.7,61.0,19.33564,-99.14554
2025-09-17 12:26:21.667852,12,4.3,59.0,19.27773,-99.12267
2025-09-18 00:23:21.667852,7,5.3,53.2,19.31731,-99.13652
2025-09-18 04:49:21.667852,13,4.7,55.4,19.30236,-99.12378
2025-09-18 17:50:21.667852,2,5.4,58.0,19.26295,-99.07776
2025-09-19 15:05:21.667852,3,10.7,63.5,19.311,-99.07851
2025-09-19 13:57:21.667852,11,7.0,41.4,19.25119,-99.06797
2025-09-17 04:36:21.667852,7,6.4,67.0,19.26309,-99.14226
2025-09-18 17:16:21.667852,15,4.6,63.2,19.33652,-99.05505
2025-09-19 06:53:21.667852,7,2.6,47.2,19.33916,-99.10319
2025-09-17 12:49:21.667852,1,6.3,40.3,19.32037,-99.05297
2025-09-17 22:24:21.667852,3,4.4,56.9,19.29425,-99.09068
2025-09-19 21:33:21.667852,15,5.1,63.6,19.27288,-99.14485
2025-09-20 00:19:21.667852,8,4.6,58.0,19.28757,-99.05689
2025-09-17 09:59:21.667852,12,4.6,56.5,19.342,-99.14981
2025-09-19 19:46:21.667852,11,2.3,46.6,19.3346,-99.14194
2025-09-17 21:10:21.667852,5,6.3,52.1,19.30102,-99.11558
2025-09-17 13:03:21.667852,2,4.4,47.9,19.33847,-99.08085
2025-09-19 17:49:21.667852,15,4.5,41.0,19.33798,-99.07837
2025-09-17 10:35:21.667852,2,9.9,66.9,19.33717,-99.0989
2025-09-18 19:56:21.667852,13,5.7,67.5,19.30023,-99.13091
2025-09-17 09:53:21.667852,15,4.2,49.3,19.28926,-99.11194
2025-09-18 21:45:21.667852,3,5.1,47.1,19.26369,-99.09239
2025-09-19 21:07:21.667852,14,3.8,45.5,19.31929,-99.11469
2025-09-17 04:42:21.667852,14,0.24264909506657162,43.5,19.31209,-99.11394
2025-09-19 04:42:21.667852,7,5.2,46.0,19.29857,-99.12977
2025-09-18 09:09:21.667852,5,2.4,56.9,19.2629,-99.11189
2025-09-17 15:05:21.667852,4,7.0,51.6,19.25022,-99.13338
2025-09-18 07:25:21.667852,2,5.8,58.3,19.34213,-99.12512
